Customer ID|Email|City|Country|Registration_Date
12346|customer_12346@yahoo.com|Manchester|United Kingdom|2009-09-02
12347|customer_12347@gmail.com|Central City|Iceland|2010-07-30
12348|customer_12348@icloud.com|Helsinki|Finland|2010-09-12
12349|customer_12349@outlook.com|Naples|Italy|2009-08-19
12350|customer_12350@outlook.com|Bergen|Norway|2010-11-22
12351|customer_12351@hotmail.com|Capital City|Unspecified|2010-11-08
12352|customer_12352@yahoo.com|Bergen|Norway|2010-08-01
12353|customer_12353@yahoo.com|Central City|Bahrain|2010-06-27
12354|customer_12354@mail.com|Seville|Spain|2011-02-05
12355|customer_12355@gmail.com|Metro City|Bahrain|2010-02-22
12356|customer_12356@gmail.com|Braga|Portugal|2010-06-16
12357|customer_12357@yahoo.com|Geneva|Switzerland|2010-08-08
12358|customer_12358@outlook.com|Capital City|Austria|2009-08-26
12359|customer_12359@outlook.com|Central City|Cyprus|2009-07-06
12360|customer_12360@gmail.com|Central City|Austria|2009-10-14
12361|customer_12361@outlook.com|Bruges|Belgium|2009-08-29
12362|customer_12362@mail.com|Ghent|Belgium|2009-10-09
12363|customer_12363@outlook.com|Capital City|Unspecified|2011-04-09
12364|customer_12364@protonmail.com|Ghent|Belgium|2011-05-23
12365|customer_12365@icloud.com|Central City|Cyprus|2010-09-16
12366|customer_12366@gmail.com|Capital City|Cyprus|2010-02-06
12367|customer_12367@hotmail.com|Aarhus|Denmark|2011-07-28
12368|customer_12368@mail.com|Metro City|Cyprus|2010-02-28
12369|customer_12369@live.com|Capital City|Austria|2009-09-28
12370|customer_12370@icloud.com|Metro City|Austria|2009-12-13
12371|customer_12371@hotmail.com|Basel|Switzerland|2010-02-10
12372|customer_12372@outlook.com|Odense|Denmark|2010-11-19
12373|customer_12373@live.com|Central City|Austria|2009-12-17
12374|customer_12374@yahoo.com|Central City|Austria|2010-03-02
12375|customer_12375@yahoo.com|Turku|Finland|2011-03-16
12376|customer_12376@mail.com|Zurich|Switzerland|2010-10-03
12377|customer_12377@yahoo.com|Basel|Switzerland|2009-11-05
12378|customer_12378@live.com|Geneva|Switzerland|2010-04-05
12379|customer_12379@live.com|Brussels|Belgium|2010-03-07
12380|customer_12380@icloud.com|Antwerp|Belgium|2009-12-22
12381|customer_12381@gmail.com|Stavanger|Norway|2011-06-09
12382|customer_12382@protonmail.com|The Hague|Netherlands|2009-09-17
12383|customer_12383@yahoo.com|Bruges|Belgium|2010-11-01
12384|customer_12384@mail.com|Bern|Switzerland|2011-03-28
12385|customer_12385@yahoo.com|Ghent|Belgium|2010-11-04
12386|customer_12386@icloud.com|Melbourne|Australia|2010-09-26
12387|customer_12387@live.com|Sydney|Australia|2010-05-06
12388|customer_12388@outlook.com|Melbourne|Australia|2010-04-18
12389|customer_12389@yahoo.com|Melbourne|Australia|2009-10-13
12390|customer_12390@gmail.com|Antwerp|Belgium|2011-06-24
12391|customer_12391@outlook.com|Metro City|Cyprus|2009-12-17
12392|customer_12392@icloud.com|Sydney|Australia|2010-04-13
12393|customer_12393@yahoo.com|Perth|Australia|2010-09-28
12394|customer_12394@outlook.com|Bruges|Belgium|2011-02-05
12395|customer_12395@yahoo.com|Brussels|Belgium|2010-02-22
12396|customer_12396@mail.com|Capital City|RSA|2009-09-26
12397|customer_12397@icloud.com|Antwerp|Belgium|2011-05-04
12398|customer_12398@protonmail.com|Zurich|Switzerland|2011-07-25
12399|customer_12399@live.com|Bruges|Belgium|2009-11-14
12400|customer_12400@hotmail.com|Brisbane|Australia|2010-05-02
12401|customer_12401@live.com|Ghent|Belgium|2011-02-01
12402|customer_12402@live.com|Ghent|Belgium|2009-08-16
12403|customer_12403@outlook.com|Aarhus|Denmark|2010-06-01
12404|customer_12404@icloud.com|Oulu|Finland|2009-11-06
12405|customer_12405@yahoo.com|Turku|Finland|2011-01-31
12406|customer_12406@hotmail.com|Aarhus|Denmark|2009-11-22
12407|customer_12407@outlook.com|Ghent|Belgium|2010-12-06
12408|customer_12408@hotmail.com|Brussels|Belgium|2010-03-19
12409|customer_12409@protonmail.com|Zurich|Switzerland|2010-05-21
12410|customer_12410@mail.com|Geneva|Switzerland|2010-03-13
12411|customer_12411@icloud.com|Melbourne|Australia|2010-09-02
12412|customer_12412@outlook.com|Aarhus|Denmark|2010-03-04
12413|customer_12413@live.com|Barcelona|Spain|2010-10-29
12414|customer_12414@gmail.com|Central City|Austria|2010-07-10
12415|customer_12415@outlook.com|Melbourne|Australia|2010-02-04
12416|customer_12416@gmail.com|Melbourne|Australia|2010-01-08
12417|customer_12417@live.com|Antwerp|Belgium|2009-06-27
12418|customer_12418@mail.com|Zurich|Switzerland|2010-03-05
12419|customer_12419@icloud.com|Seville|Spain|2010-07-19
12420|customer_12420@yahoo.com|Capital City|Cyprus|2011-08-20
12421|customer_12421@outlook.com|Madrid|Spain|2010-07-07
12422|customer_12422@live.com|Sydney|Australia|2009-11-08
12423|customer_12423@outlook.com|Aalborg|Denmark|2010-06-10
12424|customer_12424@protonmail.com|Perth|Australia|2009-08-18
12425|customer_12425@mail.com|Lisbon|Portugal|2010-07-26
12426|customer_12426@protonmail.com|Hamburg|Germany|2010-01-22
12427|customer_12427@hotmail.com|Berlin|Germany|2010-07-02
12428|customer_12428@icloud.com|Helsinki|Finland|2010-10-28
12429|customer_12429@hotmail.com|Copenhagen|Denmark|2010-05-01
12430|customer_12430@outlook.com|Trondheim|Norway|2011-05-23
12431|customer_12431@icloud.com|Brussels|Belgium|2009-12-31
12432|customer_12432@mail.com|Stavanger|Norway|2011-05-06
